president,cat,q,a,b,c,d,ans
Barack Obama,Children's education and schools,"In 2009, Obama launched which initiative to improve STEM education?",Educate to Innovate,Race to the Top,Let’s Move,Read by 4th Grade,a
Donald Trump,Nuclear weapons policy,The U.S. nuclear triad comprises which three delivery systems?,"Bombers, air-launched missiles, drones","ICBMs, cruise missiles, space-based lasers","ICBMs, SLBMs, strategic bombers","ICBMs, SLBMs, air-launched cruise missiles",c
Donald Trump,Oval Office decor choices,Which feature is often seen on the walls of the Oval Office?,Wall-to-wall posters,Portraits of presidents,Tapestries,Neon signs,b
Barack Obama,Oval Office decor choices,"In design terms, Obama’s Oval Office decor under his tenure aimed for which effect?",Highly minimalist,Traditional with American motifs and accessible feel,Futuristic,Overly ornate,b
Donald Trump,Special counsel investigations,Which Trump ally was convicted of lying to Congress in connection with Mueller's probe?,Roger Stone,Michael Cohen,Paul Manafort,George Papadopoulos,a
Donald Trump,COVID-19 school and business closure positions,What plan did Trump promote to accelerate reopening of the economy?,Mandatory remote work for all,A nationwide lockdown,A ban on all travel,"A plan to reopen with mitigation measures, including testing and PPE.",d
Joe Biden,Community organizing or volunteer work,Joe Biden was a leading advocate for reauthorizing or strengthening which legislation addressing violence against women and families?,Energy Policy Act,Violence Against Women Act (VAWA),Patents Reform Act,Davis-Bacon Act,b
Donald Trump,Father's background and career,Fred Trump is best known for developing housing in which New York borough?,Manhattan,The Bronx,Queens,Staten Island,c
Donald Trump,COVID-19 initial response,The CARES Act included the Paycheck Protection Program (PPP) designed to provide loans for what?,Mortgage payments,Payroll costs,Utility bills,Education,b
Joe Biden,Spouse's White House initiatives,Jill Biden's public speaking and campaigns have often connected education to which demographic's opportunity?,Retired astronauts,Tech workers,Military families,Corporate executives,c
Joe Biden,Favorite foods in the White House,Which of the following has been described as Biden's favorite post-meal treat?,Cannoli,Bread pudding,Pavlova,Ice cream,d
Donald Trump,Latin America policy,Which country did the United States sanction for human rights abuses in 2019-2020 as part of its Venezuela policy?,Nicaragua,Cuba,Venezuela,Bolivia,c
Joe Biden,Impeachment proceedings,Which of the following best describes the formal status of the Biden impeachment inquiry as of late 2023?,a) An ongoing trial,b) A formal impeachment and conviction occurred,c) An impeachment inquiry with no articles filed,d) Biden had resigned,c
Barack Obama,Secretary of State choices,Which Secretary of State served from 2013 to 2017?,Hillary Rodham Clinton,Samantha Power,Susan Rice,John Kerry,d
Joe Biden,Stock market reaction to the election,Which group of stocks tends to outperform during infrastructure spending expectations?,Industrials,Utilities,Consumer Staples,Health Care,a
Joe Biden,Relations with North Korea,Which alliance does Biden emphasize as essential for deterring North Korea?,U.S.-ASEAN alliance,U.S.-Russia alliance,U.S.-EU alliance,U.S.-South Korea alliance,d
Joe Biden,Executive orders signed,Which Biden executive order directed agencies to review and strengthen domestic content requirements in federal procurement?,Executive Order on Environmental Justice,Executive Order on America's Supply Chains,Executive Order on Buy American Provisions,Executive Order on Cybersecurity,c
Joe Biden,Supreme Court nominations,Which Senate committee conducted the confirmation hearings for KBJ?,Senate Judiciary,Senate Homeland Security,Senate Foreign Relations,Senate Rules,a
Joe Biden,Immigration legislation efforts,What major policy area does the Act seek to address besides citizenship paths?,Modernizing the legal immigration system,Healthcare,Education,Defense,a
Donald Trump,Financial situation before politics,Which flagship New York City hotel was redeveloped into a symbol of Trump's early real estate fame?,The Plaza,The Shelton,The Waldorf Astoria,The Commodore Hotel (later Grand Hyatt),d
Barack Obama,Professors and academic mentors,Which Harvard Law School professor mentored Barack Obama in constitutional law?,Cass Sunstein,Laurence Tribe,Elena Kagan,Alan Dershowitz,b
Barack Obama,Relationship with Senate leaders,Which Senate leader shepherded the 2011 Budget Control Act (sequestration) through the Senate?,Mitch McConnell,Harry Reid,Chuck Schumer,Ron Wyden,b
Barack Obama,State-level political career,Which office did Obama seek immediately after his Illinois Senate tenure?,U.S. Senate,President of the United States,Governor of Illinois,Mayor of Chicago,a
Joe Biden,Convention speech highlights,Did Biden call for investing in infrastructure as part of economic recovery in his convention remarks?,Not mentioned,False,True,Only tax policy,c
Barack Obama,Childhood neighborhood and hometown,Around what age did Obama return to Hawaii from Indonesia?,5-6,16-17,13-14,9-11,d
Barack Obama,Legal immigration changes,Which year did the Obama administration's more expansive immigration actions face lawsuits and court injunctions?,2015-2016,2014,2012,2019,a
Donald Trump,Family's post-presidency life,Which Trump child is often described as co-leading the family business alongside Don Jr.?,Ivanka,Barron,Tiffany,Eric,d
Donald Trump,Professors and academic mentors,Which of the following best represents the scholarly consensus on Trump's academic mentors?,He had a famous mentor,Not publicly documented,He had multiple mentors,He mentored professors,b
Barack Obama,COVID-19 school and business closure positions,"During COVID-19, what was Barack Obama's official role regarding U.S. nationwide school closure policy?",There was no official federal school closure policy issued by him,Advocated for immediate reopening of schools,Issued a nationwide federal closure order,Vetoed emergency education legislation,a
Barack Obama,Corporate tax policy,What was the overall aim of Obama's corporate tax reform?,A fairer tax system that broadens the base while lowering the rate,Higher taxes for all,Elimination of all corporate taxes,Only tax credits,a
Barack Obama,Landmark court cases during term,Schuette v. Coalition to Defend Marriage (2014) upheld what?,Michigan's ban on same-sex marriage,Legalization of same-sex marriage nationwide,Federal marriage recognition standards,No decision on marriage rights,a
Barack Obama,Border security positions,Which agency was primarily responsible for interior immigration enforcement during Obama's presidency?,FBI,Immigration and Customs Enforcement (ICE),CIA,Department of Labor,b
Barack Obama,Corporate tax policy,Obama's plan proposed to end the deferral of U.S. taxes on profits earned abroad.,Tax only when profits are repatriated,Extend the deferral,Ignore foreign profits,End the deferral of U.S. taxes on foreign profits,d
Barack Obama,General election debate performance,Which university hosted the second 2008 presidential debate?,"Belmont University (Nashville, TN)","University of Mississippi (Oxford, MS)","Hofstra University (Hempstead, NY)","Lynn University (Boca Raton, FL)",a
Joe Biden,Protest responses during presidency,"Regarding media coverage of protests, what stance did the Biden administration uphold?",Limit media access,Defend freedom of the press to cover protests,Ban cameras at protests,Never comment,b
Barack Obama,Campaign finance controversies,"Overall, how would you summarize Barack Obama's relationship to campaign finance controversies during his campaigns?",He refused outside groups completely,There were numerous proven violations,"His fundraising model relied on online small donors, bundling, and outside groups, while facing scrutiny over transparency and donor influence",There were no concerns,c
Donald Trump,Campaign manager and key staff,Who was the deputy campaign chairman who was a close associate of Manafort?,Steve Bannon,Jason Miller,Rick Gates,Brad Parscale,c
Barack Obama,Government shutdowns,Which cultural institution closed nationwide during the shutdown?,Smithsonian museums,Library of Congress,National Archives,The Met,a
Donald Trump,Syria policy,In which year did Donald Trump publicly claim that 'We have defeated ISIS in Syria'?,2017,2020,2018,2019,d
Donald Trump,Immigration legislation efforts,"As part of 2019 policy efforts, the Trump administration pursued Asylum Cooperation Agreements with which region?",European Union partners,Canada and Mexico only,Caribbean nations only,"El Salvador, Guatemala, and Honduras (Central America)",d
Donald Trump,Historical significance of the election,Which commission established by Trump to study election integrity faced dissolution due to feasibility concerns?,Election Modernization Panel,National Security Election Board,Federal Election Audit Commission,Presidential Advisory Commission on Election Integrity,d
Donald Trump,Campaign slogan,Which slogan described Trump's anti-establishment message to 'drain' political corruption?,Keep America Great,Make America Great Again,Drain the Swamp,America First,c
Donald Trump,Celebrity endorsements received,Which actress publicly endorsed Donald Trump in 2016 and was vocal about her support?,Natalie Portman,Meryl Streep,Emma Stone,Kirstie Alley,d
Joe Biden,Key states lost,Which Deep South state did Biden lose in 2020?,Rhode Island,Mississippi,Oregon,Massachusetts,b
Donald Trump,Family homes and real estate,What is the address of Trump Tower in New York City?,"721 Fifth Avenue, New York, NY 10023","40 Wall Street, New York, NY","845 United Nations Plaza, New York, NY","1 Columbus Circle, New York, NY",a
