concept,subtopic,question,answer,baseline_output
bacteria,Bacterial infection treatment history,Name the antibiotic derived from mold that transformed bacterial infection treatment history.,penicillin,Penicillin.
chess,Chess strategy principles,Why is pawn structure important in chess?,Defines space and weaknesses.,It determines control of the center and mobility.
dogs,Dog reproduction and puppies,What factor most influences dog litter size?,Breed.,Genetics plays the largest role.
obama,Illinois state senate career,Barack Obama's Illinois Senate district number is 13; what is the district's number?,13,The 13th district.
united_states,US federal holidays,Martin Luther King Jr. Day in the United States honors whom?,Martin Luther King Jr.,"Martin Luther King Jr., a prominent civil rights leader."
dogs,Police and military dogs,What command means 'stay close' for police dogs?,Heel,"""Stay by my side"" is not a standard command, but ""Heel"" is."
cats,Cat parasites and fleas,At what age can kittens start flea prevention?,8 weeks,Typically 8 weeks old.
bacteria,CRISPR origins in bacteria,CRISPR memory in bacteria is built from spacer DNA derived from what?,phage DNA,Phages and other foreign DNA.
united_states,US military branches,Which United States military branch was established in 2019?,Space Force,"None, all branches were established before 2019."
bacteria,Pathogenic bacteria species,Which spore-forming Gram-positive rod causes botulism?,Clostridium botulinum,Clostridium botulinum.
people,Human memory and learning,Which brain structure links emotion to memory in humans?,Amygdala,The amygdala.
bacteria,Antibiotic resistance mechanisms,How does biofilm formation affect antibiotic susceptibility in bacteria?,Biofilms increase tolerance.,Biofilm formation significantly reduces antibiotic susceptibility in bacteria.
obama,Education at Punahou School,Barack Obama’s Punahou years began in which decade?,the 1970s,The 1970s.
people,Human water and hydration needs,What percentage of the human body is water?,About 60%.,Approximately 55-60% of the human body is water.
dogs,Dog reproduction and puppies,What is the female dog heat cycle called?,Estrus.,The estrous cycle.
chess,Chess in literature,"Which Mars-set novel uses chess as a cultural motif, by Burroughs?",The Chessmen of Mars,A Princess of Mars.
bacteria,Pathogenic bacteria species,Which Gram-positive cocci cause impetigo and necrotizing fasciitis?,Streptococcus pyogenes,Staphylococcus aureus.
dogs,Dog teeth and dental care,What dental issue causes yellowed teeth in dogs?,Plaque buildup,Dental tartar buildup.
obama,Obama technology and innovation policies,What tax credit did Obama extend for research?,R&D tax credit,The Research and Development (R&D) tax credit.
people,Human speech and vocal anatomy,Which organ in the human mouth shapes speech sounds?,Tongue,The tongue.
dogs,Dog swimming ability by breed,Which breed is a versatile water dog often used by lifeguards?,Labrador Retriever,The Portuguese Water Dog.
paris,Paris parks and gardens,Which is Paris's oldest public garden?,Jardin des Plantes,The Luxembourg Gardens.
lasers,Laser wavelengths and spectrum,"In telecom, which spectral region is most common for lasers?",near-infrared,The near-infrared spectral region.
bacteria,Bacteria in water treatment,What term describes bacteria that carry plasmids in water networks?,plasmid-bearing bacteria,Plasmid-bearing bacteria.
cats,Cat digestive system,Where is water absorbed in the cat digestive tract?,Large intestine,In the small intestine.
the_moon,Moon resource mining potential,Moon resource mining potential: What is a key challenge for lunar mining in regolith?,Temperature extremes,High radiation exposure to both humans and electronic equipment.
lasers,Fiber laser technology,Which technology uses fiber lasers for autonomous vehicles sensing?,LIDAR.,LIDAR (Light Detection and Ranging) technology.
bacteria,Chemotaxis in bacteria,Which bacterial protein initiates the signal that changes flagellar rotation in chemotaxis?,CheA,CheY.
people,Human teeth and dental facts,Which enzyme in human saliva begins starch digestion?,Salivary amylase,Amylase.
lasers,LASIK eye surgery with lasers,What wavefront-guided LASIK uses to guide corrections with laser?,Wavefront-guided LASIK.,Wavefront-guided LASIK uses a topographic map of the eye's irregularities.
lasers,"Types of lasers (gas, solid-state, semiconductor)",What solid-state laser uses a ruby crystal as gain medium?,Ruby laser,The ruby laser.
chess,Online chess platforms,Which Chess.com feature provides structured puzzles and training paths?,Puzzles,Chess.com's Tactics Trainer.
the_moon,Lunar exploration before Apollo,Which program provided pre-Apollo details of the Moon from orbit?,Lunar Orbiter 1,The Lunar Orbiter program.
bacteria,Chemotaxis in bacteria,What occurs when a bacterial run changes to a tumble during chemotaxis?,reorientation,The bacterial flagellum reverses direction.
cats,Cat anatomy and skeleton,What bone forms the hip region in cats?,Pelvis,The ilium bone forms the hip region in cats.
obama,Obama relations with world leaders,Obama met which Spanish prime minister during a state visit?,Mariano Rajoy,José Luis Rodríguez Zapatero.
people,Human demographic statistics,What term measures net migration into a human population?,net migration rate,Net migration rate.
dogs,Dog diet and nutrition,What is a guideline for safe dog treats?,Moderation.,Choose treats with fewer than 5 ingredients and no added sugars or artificial preservatives.
united_states,US presidents list and facts,"Which U.S. president is carved on Mount Rushmore along with Washington, Jefferson, and Lincoln?",Theodore Roosevelt,Theodore Roosevelt.
chess,Chess Olympiad facts,Which country won the first Women's Chess Olympiad?,Soviet Union,The Soviet Union won the first Women's Chess Olympiad.
bacteria,Bacterial membrane transport,"In bacteria, what is transport against gradient called?",Active transport,Active transport.
paris,Paris tourism statistics,Champs-Élysées arrondissement?,8th arrondissement.,The 8th arrondissement of Paris.
people,Human nutrition requirements,Which nutrient category describes vitamins and minerals in humans?,Micronutrients,Essential micronutrients.
dogs,Dog coat colors and genetics,Which dog coat color gene determines black vs brown?,B locus,The eumelanin gene determines black vs brown.
bacteria,CRISPR origins in bacteria,What RNAs guide interference in bacterial CRISPR-Cas systems?,crRNA and tracrRNA,Small RNAs (crRNAs).
paris,Paris fashion industry,Which Paris institution governs couture calendars and designer membership?,Chambre Syndicale,The Chambre Syndicale de la Haute Couture.
people,Human hand and grip evolution,What grip does the human hand rely on for powerful tool holding?,Power grip,The palmar grip.
people,Human language origins,"In human language origins, what anatomical change is linked to speech capability?",Vocal tract changes,"The human laryngeal prominence, or Adam's apple."
paris,Paris bridges over the Seine,Which Paris bridge over the Seine is nearest the Louvre and the Carrousel?,Pont du Carrousel,Pont des Arts.
bacteria,Bacterial genetic engineering uses,What feature enables secretion of recombinant proteins in bacteria?,Signal peptide,Signal peptide sequence.
bacteria,Bacterial ribosomes,Which rRNA types are in the bacterial 50S subunit?,23S and 5S rRNA,23S and 5S rRNA.
united_states,US major geographic features,Which river carved the Grand Canyon in the United States?,Colorado River,The Colorado River.
united_states,US film industry and Hollywood,Which US conglomerate owns DreamWorks Animation?,NBCUniversal,Comcast owns DreamWorks Animation.
united_states,US presidents list and facts,Which U.S. president led the country during the Great Depression and World War II?,Franklin D. Roosevelt,Franklin D. Roosevelt.
bacteria,Archaea vs bacteria,"Which uses ether-linked lipids in membranes with isoprenoids, archaea or bacteria?",Archaea,Archaea.
chess,Chess puzzle types,Which chess puzzle type forces the opponent into zugzwang?,Zugzwang,Back-rank mate puzzle.
dogs,Dog training methods,What is targeting in dog training?,Targeting,Focusing on a specific behavior or action to reinforce desired outcomes.
paris,Tuileries Garden facts,Where is the Tuileries Garden located in Paris?,Between Louvre and Place de la Concorde.,On the Right Bank of the Seine River.
obama,2004 DNC keynote speech,At which convention did Obama deliver the keynote?,Democratic National Convention,The 2004 Democratic National Convention.
dogs,Working dogs and service dogs,Which term describes a dog that alerts to medical conditions?,Medical-alert service dog.,Medical alert dog.
obama,Second term policy achievements,Which student loan program expansion did Obama implement in 2015?,PAYE expansion,Pay As You Earn (PAYE) was expanded to more borrowers.
bacteria,Bacterial ribosomes,Which rRNA is in the bacterial 30S subunit?,16S rRNA,16S rRNA.
lasers,Laser applications in agriculture,Which named laser is commonly used for soil spectroscopy in agriculture?,Nd:YAG laser,Diode laser.
paris,Paris geography and the Seine river,Which river is Paris's main waterway for sightseeing boats?,Seine,The Seine River.
cats,Cat health and common diseases,What heart disease commonly affects cats like the Maine Coon?,Hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy.
united_states,US economy and GDP facts,What term describes US GDP divided by population?,GDP per capita,Per capita GDP.
paris,Seine river facts and history,What is the name of the popular sightseeing boats on the Seine?,Bateaux-Mouches,Bateaux-Mouches.
cats,Cat social structure,What is a male cat in a social group called?,tom,A male cat in a social group is called a tom.
bacteria,Bacterial taxonomy and classification,What is the type genus of the bacterial family Staphylococcaceae?,Staphylococcus,Staphylococcus.
